id,decimallongitude,decimallatitude,date_year,depth,sst
983f3c17-d7c3-44b3-a25b-8aec6fd81580,143.4763,-11.6995,1993.0,,27.0
d73cbb07-d13d-4c4f-ba36-b0724324828b,143.5118,-11.6512,1994.0,,27.02
d4a9f74f-4e00-4b17-8c7c-7ea9aae4273f,143.6798,-11.5883,1993.0,,27.02
2591a6c9-5888-46e0-8b34-b240ca671d53,143.9,-11.15,1992.0,33.0,27.19
6fd033b4-1bec-49a7-8882-d643db882499,143.5518,-11.617,1994.0,18.5,27.02
c87e8a9d-d4cc-4204-89d5-0d0c392e98dd,116.08,-20.54083,1988.0,30.5,26.17
885851f7-7123-4094-9c64-211d71cec7db,115.85917,-20.66833,1988.0,22.5,26.04
9380e685-5a8e-4cd9-a8f0-66e8690d347b,145.395833333,-15.6919444444,1981.0,,26.2
a329dcb2-42a2-43d1-801d-020a490bdbd2,145.5,-14.6666666667,1981.0,,26.6
a5cb23e4-f8af-4b89-91de-a86c1e9cf2f3,178.385555556,-18.1394444444,1983.0,,27.1
47176a05-462f-4b88-ad10-3237dc24d6c8,178.389166667,-18.1441666667,1983.0,,27.1
57921ed7-1ef7-4d26-b299-3c64aa290baf,134.57525,7.35669,2004.0,,29.21
a39b3061-8ee7-4d76-99af-636567deb8af,134.539833333,7.26694444444,2004.0,,29.22
d213c87e-b6a9-48fa-b5ad-d7010475c469,131.740183333,2.87448333333,2008.0,,29.41
38bc0393-d195-4357-ae17-e0f070b5e351,33.8322,27.1219,2011.0,5.75,
619e3ab9-9f8e-490d-8fee-80eeac93b857,144.79634,13.51442,2011.0,10.0,28.92
5d3690d7-cb27-4a5e-9479-117185ce6d0b,127.713,26.4415,2013.0,14.93522987045975,25.07
97ae4317-c419-48e1-896e-3fadf76b129d,33.8257,27.3047,2012.0,5.5,25.37
9ac881a1-5793-495b-921f-407af809b3cd,144.76399,13.48827,2011.0,10.0,28.93
483e8a0c-ca82-4923-9227-f60e56bc73a8,123.401,9.95566,2012.0,8.25,28.59
65e8c5e9-e528-4124-878d-1ff3e0c3e436,34.4662,28.0018,2006.0,12.5,25.43
f6605f87-611b-4f94-878f-e81adf58812b,73.4895,3.94089,2008.0,15.3,28.99
ca1a1793-13f7-4e42-8ef6-7c94e3708410,145.8051,-15.64817,2006.0,,26.52
70752cde-81dc-40cb-8f40-059ec8daf103,145.80415,-15.60715,2006.0,,26.52
4d078c24-8f4b-4c1f-82bf-0e0d720eb058,106.573,-6.05862,2014.0,8.45,29.1
5ef88923-4041-4dba-a049-f11389e61b06,115.594,-8.277,2014.0,5.0,28.56
143a05e5-0c15-48cf-adcd-c4f7f0ebae7a,34.4326,25.8486,2014.0,9.75,25.81
c31dbc6b-8e7a-451c-a221-bb407acfb249,106.617,-5.75,2013.0,8.5,29.12
13e2bf57-c9aa-4b05-882b-5a5bd879e540,73.5346,4.24139,2012.0,10.5,28.98
876ef773-6681-4943-b2bb-faa8d01cac7e,123.401,9.95566,2012.0,10.0,28.59
b1c3eed2-c858-4b6e-8a37-3e40c3ed4c6a,73.5361,1.97725,2007.0,8.8,29.19
c0bfbae2-822f-46f9-9d7d-7a89351d0ed4,178.107,-18.3698,2010.0,7.46761493522985,27.17
2182f7f5-a507-46ee-ba0e-9ba6255c13a2,120.188,12.0772,2012.0,11.5,
edc2154d-0157-4c86-9218-267633704c00,33.8106,27.1856,2003.0,8.5,25.42
c36e6191-0e02-4192-aaf4-ef6aee929ef9,178.091,-18.3912,2010.0,9.6012192024384,27.17
f30db7d3-082a-4426-b1fe-57bc42c5ffab,178.218,-17.2525,2010.0,10.66802133604265,27.39
5ac0b9c2-8e1a-4800-8272-c7f1ddd51483,72.9507,4.00579,2007.0,12.5,28.99
7cee0cb7-6be6-4d8d-8aca-81d64e082eb2,72.8603,4.07867,2007.0,13.5,28.99
003434d8-d8d4-457a-8589-5604f64b9d32,115.662,-8.33677,2014.0,8.1,
3af22ada-aea0-4ce0-aacc-9fdb5698d4bf,39.3364,-5.84439,2001.0,8.0,27.4
3b0fcc36-3f3f-4b4e-accd-ccc42a90a338,33.8356,27.2697,2013.0,16.5,25.42
f2fc6b94-83f2-45a2-893e-10e67000a656,72.7274,3.88565,2002.0,6.0,29.02
4edaea0b-a9d3-4f2f-a2af-cec8ee1800bd,35.711,24.1587,2008.0,7.5,26.84
4aed44fe-a1ba-4f91-bda7-d3bc8750ddd1,72.811,4.20113,2007.0,12.3,29.0
ed6bfd2c-0ecd-4f72-99c1-d02f146ee503,115.593,-8.27535,2013.0,9.0,28.56
5157f809-a204-443b-948f-053bb9f6ea02,115.589,-8.29321,2013.0,9.0,28.56
c41f30ec-e854-4e9b-84bc-7d21f514a127,33.8633,27.0883,2011.0,3.9,25.59
d9f9be07-bd11-43d6-9934-9758244abe2e,33.8633,27.0883,2011.0,4.5,25.59
6e3684fb-4ffb-4070-8dd4-89acf24957b1,123.799,9.59869,2012.0,5.4,28.52
2fb25f9e-6b11-46be-831b-f3ecc019a423,115.662,-8.33677,2009.0,6.0,
70bea499-a1ff-4717-a49b-0bf681ead129,33.9155,27.3608,2013.0,20.0,25.41
6d144626-2ac3-4b2b-be6e-6d461118b68e,33.8356,27.2697,2005.0,6.0,25.42
fe7923ef-db3d-4255-821e-c085b83ee0b6,120.826,13.6995,2013.0,9.85,28.25
ee5f5377-10f0-438a-abd5-bfd22cbb9c5b,33.8729,27.5576,2012.0,6.85,25.19
8e075490-22aa-40ac-965a-e9f870af1447,34.521,28.5549,2012.0,8.4,24.75
524e90d8-90d9-4ab0-8831-a87c93ea7cae,98.7757,7.74348,2010.0,9.0,29.44
33e930d8-5227-4bb8-8129-1c486cbf49e3,34.3391,27.9034,2013.0,7.95,25.79
8e6a1a84-63cb-48ef-9f10-e29053dac7e8,73.0071,4.32022,2012.0,7.0,28.98
439bf31f-cd5d-4c7b-9157-8de213315753,109.295,12.1829,2012.0,4.25,27.29
578802f5-9661-4e41-8084-c496b305e318,98.367,7.59106,2011.0,7.5,29.35
c3a249b4-8354-4e0c-9b66-448fe8056e68,98.367,7.59106,2010.0,7.0,29.35
de9adcf2-22b2-426c-8778-083f4d7b4ce2,33.9086,27.2243,2012.0,6.0,25.52
91b363cb-605b-4e96-ba5d-8ac7bc94c0e2,33.8113,27.4467,2007.0,7.0,25.26
1551cd8c-73c0-4530-841d-cef71f78aa6b,33.8977,27.2256,2012.0,6.0,25.52
4672215c-3827-467a-855a-36ba3bbbc3df,34.7765,25.3474,2004.0,7.5,26.08
b48005a8-e432-47b3-b7db-c44b2905d5c1,34.3946,27.9502,2010.0,10.0,25.65
da58b613-a121-43fe-a1a2-5f26eba52aa1,34.3946,27.9502,2010.0,6.6,25.65
7e30075d-177d-4987-b0ae-748f751c891c,33.9208,27.8133,2010.0,14.9,25.23
cc79aa05-0953-4ea2-a03c-cd0d79a94d85,34.5187,28.4989,2011.0,5.0,24.81
84e179bd-e086-4623-84e7-e74458d25a52,33.9749,27.134,2011.0,7.0,25.6
d74299cb-ab92-4bfb-a851-e5635dc593f1,114.17,-21.7701,2002.0,6.5,25.48
53c9a795-2aac-461e-a204-c0a5d2f7c165,6.46667,43.05,2008.0,7.0,18.13
39526ee0-608d-4904-bc4f-07b0d4f0fb93,33.7773,27.539,2007.0,5.4,25.13
567b9cac-6a67-4bbf-9121-e8a416f86741,115.514,-8.53005,2012.0,10.0,28.15
daea6781-70bc-41c4-879f-be5b739f1673,33.9208,27.8133,2012.0,12.25,25.23
cd2a7c39-eafc-4ef1-bfdf-8af800d3c5ca,55.4653,-4.73919,2012.0,6.0,28.06
c67d9e59-8750-47ec-9ac6-54bddef7963f,55.3973,-4.69772,2012.0,11.5,28.06
5e85cc0c-bc42-4b45-86d6-86578b07e64e,55.3973,-4.69772,2012.0,12.0,28.06
61e81fc2-dd7b-404d-af01-ec1fa97f47c4,34.4532,27.9845,2012.0,11.3,25.68
8e187edd-2173-443b-9c2d-84c28e22a802,33.9303,27.5813,2012.0,13.0,25.31
c467b994-043d-414c-be86-a329e2eaed35,115.584,-8.53273,2012.0,10.0,28.21
aea7a8d6-672d-41f8-a605-f0f7fec7dd04,118.708,4.17761,2012.0,10.0,29.15
b236deb1-22b4-44fa-83c1-64f554289f5a,118.632,4.24892,2012.0,6.0,29.15
003ead84-0d29-4c5e-9b83-edaa48a903fd,34.3019,27.8473,2008.0,6.0,25.61
379c8409-1daa-4fca-b1ee-c7efb3a9ee4a,57.5872,-19.982,2012.0,10.0,25.94
a1810395-2184-4437-b7aa-e96758a65d74,153.15,-26.6246,2012.0,12.4,23.2
46facae5-37fb-40df-8a19-463554b0d937,55.4653,-4.73919,2012.0,6.0,28.06
669cbb29-6e00-4066-8d3e-53d01a1d7954,55.4653,-4.73919,2012.0,6.0,28.06
7d485f0e-80ce-436f-b620-d6ca6753586e,33.8542,27.4089,2012.0,7.0,25.41
8c486634-9b36-4f6f-af3b-6cbfe95752e0,94.2726,16.8879,2012.0,5.44,28.39
3bba6595-19bd-41a7-b56e-580aad96061f,34.2585,27.7252,2011.0,13.1,25.8
712ef2b6-d214-4353-9d8d-6294de2f574b,125.5,-8.55672,2012.0,9.0,28.48
f7c7c4f5-aa9f-481c-a58a-55611e91b898,57.5872,-19.982,2012.0,10.455,25.94
f97a5767-c065-411e-b0aa-40ff7afb6946,57.5656,-19.9895,2012.0,6.96,25.96
2d29aff1-7fb2-46c3-963f-7a987e6185af,102.74,5.90646,2012.0,7.9,29.32
8b524d32-ade7-4aed-b053-9dc8e1bb25ee,102.686,5.8703,2012.0,9.3,29.32
cf520a6d-af42-4b50-8e13-ac3a4972e939,34.3139,27.8472,2011.0,12.8,25.61
f6fb647e-3318-446f-9a5e-699e2d952dbd,115.66,-8.33752,2014.0,8.85,
d05b1972-54c1-401d-8a0c-704c5744bde1,34.8949,29.4926,2014.0,4.75,24.34
7fdb31c6-5b9a-43ef-8e29-8b1af4517df5,72.9021,3.5788,2014.0,6.0,29.02
9075fff5-615c-4ded-bc86-5febe9f0859f,73.0368,3.21529,2011.0,5.5,29.04
0a6276f4-8162-4230-945b-93588506b46e,73.0368,3.21529,2011.0,11.0,29.04
994b7c6e-a0d4-4af0-a2ac-228b29aefc0d,33.9079,27.3099,2005.0,12.15,25.42
501bb65f-c422-43fd-9c98-5e9bc4596ad3,48.6513,28.6813,2002.0,5.0,25.51
b1ef2a1a-66ab-47a0-901a-4ebe99de9654,109.313,12.1714,2011.0,8.1,27.29
04437de7-7079-4e1c-b8de-a7c37bfee044,34.4532,27.9845,2008.0,15.0,25.68
93c9350c-7025-4154-8dd3-3cda5dc5ca24,73.2207,3.20278,2007.0,12.0,29.04
334885e6-6026-47e9-be3e-9162fed468ed,33.9933,26.8102,2011.0,15.0,25.65
c4525ca2-6940-49f1-9f8c-b2b104972c93,33.9218,26.9667,2009.0,7.5,25.66
2bb280bf-eaa1-433c-9aa2-f5a05c3f3133,34.0731,26.5136,2011.0,6.0,25.66
538325dc-08fb-4222-8f5c-902e65073897,34.0731,26.5136,2011.0,8.0,25.66
