id,decimallongitude,decimallatitude,date_year,depth,sst
d7a2f7d2-20d7-40f5-96c4-79ff7289a325,-65.16896,18.3114,2016.0,27.1,27.74
64de75c6-565c-467f-9d26-473e264910fc,-65.70934,18.09886,2016.0,16.0,27.79
f54cd844-ad6e-4d8c-b4e1-81867591f844,-65.70934,18.09886,2016.0,16.0,27.79
46a451d9-810b-4494-a195-451213ff6407,-65.64644,18.11999,2016.0,20.4,27.81
bcfe30aa-6000-4289-8ae1-a9794fb2cff1,-65.7506,18.11987,2016.0,12.1,27.79
a6a50d97-47e4-4486-a576-145e61fc983a,-65.65147,18.18834,2016.0,7.5,27.78
5f72a707-a5b8-4628-9343-3646e5002bac,-65.65147,18.18834,2016.0,7.5,27.78
09ed2d49-c746-4aeb-af58-51e20e28efe1,-65.59155,18.29056,2016.0,10.7,27.73
10699a09-ba69-4886-8d84-8d1a0a000be2,-65.59155,18.29056,2016.0,10.7,27.73
d14a3dbc-88a6-42a7-9468-9862c568f7ba,-65.72664,18.40328,2016.0,13.4,27.71
39cd5da3-f633-4148-a74f-2cdf92ab4535,-67.23992,18.2929,2016.0,10.1,27.98
60c3b75d-4272-442b-b16f-edf98e036a29,-67.23992,18.2929,2016.0,10.1,27.98
3746a234-51db-4285-8fa2-b90bce020610,-67.23156,18.38797,2016.0,17.3,27.97
e0ef8cf5-0e82-4e49-9b5d-6cd8d0897ca8,-65.63886,18.40358,2016.0,19.5,27.71
5fcf43c3-ab4a-4c55-acd1-85880033a567,-67.48423,18.39335,2016.0,20.0,27.98
a2e6c368-e967-41ed-a867-d4f17f1b16f5,-67.48423,18.39335,2016.0,20.0,27.98
18269db9-798e-43ff-abae-8b1865e3a7e2,-67.00869,17.89427,2016.0,17.7,28.05
95c1b23f-75f4-4f0f-b908-448c67e0d44e,-67.35309,18.00345,2016.0,17.1,28.05
3c39426e-6f9e-4fb5-a3f5-5a9ac1d2bb66,-67.35061,18.05236,2016.0,27.6,28.05
3f64eb2a-5142-4c2c-8130-d088c8e92597,-67.30399,17.99382,2016.0,18.0,28.06
75e76d81-fd13-443d-bc60-e3754db72c0b,-67.2108,18.24462,2016.0,7.3,28.03
f7360c2d-cd87-48fc-a443-f788267607b3,-67.2108,18.24462,2016.0,7.3,28.03
46c5a1d7-3e03-43bb-85f9-2ffaec647e86,-67.2108,18.24462,2016.0,7.3,28.03
24a6da38-d1a0-468a-87cc-a9cf02c998db,-67.2108,18.24462,2016.0,7.3,28.03
f625e408-ae9e-4919-9f02-c6710945f208,-67.2108,18.24462,2016.0,7.3,28.03
06d3f465-2e9c-4d91-973c-0d25cf4627b0,-66.8864,17.94602,2016.0,8.1,28.01
9121a3e9-a0b9-4c0d-b540-45f3c313dc61,-64.44963,17.82427,2019.0,33.0,27.83
91d70e95-b3d1-4479-8824-5a746096c79a,-64.75862,18.24447,2015.0,30.0,27.75
932d36a6-0a05-4a85-9813-8df769068374,-65.08205,18.34064,2015.0,9.0,27.72
9359c3e8-923b-40df-a061-78ee8f1bbeb4,-64.75862,18.24447,2018.0,30.0,27.75
93a12ea4-96c3-4757-b974-803ed66cd2c7,-65.07677,18.18568,2015.0,30.0,27.77
940eb343-e5b5-4301-aab9-6c41268a5faf,-65.03442,18.35738,2017.0,8.0,27.72
94f50297-8774-4cf8-853c-5e2d04c90cb4,-64.6988,17.7615,2014.0,10.0,27.82
95424480-7303-41b0-9685-f1a95df70606,-65.07677,18.18568,2017.0,30.0,27.77
ae0af2b5-cc0c-486d-8165-c1df4eaa24d1,-61.841,16.103,2022.0,0.5,28.01
95fbfc52-7a7a-4ee4-befe-7727af4b10f7,-64.75862,18.24447,2013.0,30.0,27.75
549d23e7-8a66-441e-8817-11f7dad54f2c,-61.841,16.103,2021.0,0.5,28.01
82b465c7-a532-4191-9ba1-171257c2c07a,-64.95659,18.18885,2013.0,38.0,27.76
84bcf3d0-faae-494f-8b33-5fb52bc326b0,-64.95659,18.18885,2019.0,38.0,27.76
84d29e59-cf61-4d96-8ea6-597931a9aa9b,-64.8675,18.29467,2015.0,20.0,27.71
852073da-00be-4d0b-94ff-a05738afcfd2,-64.95659,18.18885,2015.0,38.0,27.76
8550d737-ccfd-4428-af06-1f4a61b58119,-64.8675,18.29467,2016.0,20.0,27.71
85850994-190b-4eb0-b4c5-a348894068fb,-65.00158,18.20217,2016.0,39.0,27.77
80a85f02-4a58-415d-9238-9a9429787e31,-65.07677,18.18568,2018.0,30.0,27.77
85f634be-6826-4014-9bad-6f5a74cd3862,-64.87237,18.26267,2015.0,20.0,27.71
848e82be-f815-4486-a493-d12c1b757fdd,-64.90008,17.69116,2016.0,17.0,27.87
86ac9939-2172-4a53-9474-b8a1f0ecb031,-64.98595,18.3445,2014.0,9.0,27.71
